Knot1,Knot2,variant
s114,v0082,mirror
s114,v0082,reverse_mirror
v0220,o9_24407,mirror
v0220,o9_24407,reverse_mirror
v0407,o9_40052,identity
v0407,o9_40052,reverse
v0830,t07670,mirror
v0830,t07670,reverse_mirror
v1077,t02104,mirror
v1077,t02104,reverse_mirror
v1832,o9_37751,mirror
v1832,o9_37751,reverse_mirror
v1839,o9_33585,identity
v1839,o9_33585,reverse
v1966,t04003,identity
v1966,t04003,reverse
v1966,o9_29551,identity
v1966,o9_29551,reverse
v2024,o9_23461,mirror
v2024,o9_23461,reverse_mirror
v2166,o9_39519,identity
v2166,o9_39519,reverse
t00146,t05658,identity
t00146,t05658,reverse
t01037,o9_34000,identity
t01037,o9_34000,reverse
t04003,o9_29551,identity
t04003,o9_29551,reverse
t05118,o9_01496,identity
t05118,o9_01496,reverse
t05118,o9_16748,mirror
t05118,o9_16748,reverse_mirror
t05538,t09690,mirror
t05538,t09690,reverse_mirror
t10985,o9_18209,mirror
t10985,o9_18209,reverse_mirror
o9_00797,o9_13433,identity
o9_00797,o9_13433,reverse
o9_01680,o9_12144,mirror
o9_01680,o9_12144,reverse_mirror
o9_02772,o9_04060,identity
o9_02772,o9_04060,reverse
o9_03162,o9_09808,mirror
o9_03162,o9_09808,reverse_mirror
o9_03288,o9_03586,mirror
o9_03288,o9_03586,reverse_mirror
